CD_CID,DS_CID,DT_EXCL,ID_ORIGEM
F909,TRANSTORNO HIPERCINETICO NAO ESPECIFICADO                                                           ,,
F91,DISTURBIOS DE CONDUTA E SUBTÍTULOS                                                                  ,,
F910,DISTURBIO DE CONDUTA RESTRITO AO CONTEXTO FAMILIAR                                                  ,,
F911,DISTURBIO DE CONDUTA NAO-SOCIALIZADO                                                                ,,
F912,DISTURBIO DE CONDUTA DO TIPO SOCIALIZADO                                                            ,,
F913,DISTURBIO DESAFIADOR E DE OPOSICAO                                                                  ,,
F918,OUTROS TRANSTORNOS DE CONDUTA                                                                       ,,
F919,TRANSTORNO DE CONDUTA NAO ESPECIFICADO                                                              ,,
F92,TRANSTORNOS MISTOS DE CONDUTA E DAS EMOCOES E SUBTÍTULOS                                            ,,
F920,DISTURBIO DEPRESSIVO DE CONDUTA                                                                     ,,
F928,OUTROS TRANSTORNOS MISTOS DA CONDUTA E DAS EMOCOES                                                  ,,
F929,TRANSTORNO MISTO DA CONDUTA E DAS EMOCOES NAO ESPECIFICADO                                          ,,
F93,TRANSTORNOS EMOCIONAIS COM INICIO ESPECIFICAMENTE NA INFANCIA E SUBTÍTULOS                          ,,
F930,TRANSTORNO LIGADO A ANGUSTIA DE SEPARACAO                                                           ,,
I15,HIPERTENSAO SECUNDARIA E SUBTÍTULOS                                                                 ,,
I150,HIPERTENSAO RENOVASCULAR                                                                            ,,
I151,HIPERTENSAO SECUNDARIA A OUTRAS AFECCOES RENAIS                                                     ,,
I152,HIPERTENSAO SECUNDARIA A AFECCOES ENDOCRINAS                                                        ,,
I158,OUTRAS FORMAS DE HIPERTENSAO SECUNDARIA                                                             ,,
I159,HIPERTENSAO SECUNDARIA, NAO ESPECIFICADA                                                            ,,
I20,DOENCAS ISQUEMICAS DO CORACAO E SUBTÍTULOS                                                          ,,
I200,ANGINA INSTAVEL                                                                                     ,,
I201,ANGINA PECTORIS COM ESPASMO DOCUMENTADO                                                             ,,
I208,OUTRAS FORMAS DE ANGINA PECTORIS                                                                    ,,
I209,ANGINA PECTORIS, NAO ESPECIFICADA                                                                   ,,
I21,INFARTO AGUDO DO MIOCARDIO E SUBTÍTULOS                                                             ,,
I210,INFARTO AGUDO TRANSMURAL DA PAREDE ANTERIOR DO MIOCARDIO                                            ,,
I211,INFARTO AGUDO TRANSMURAL DA PAREDE INFERIOR DO MIOCARDIO                                            ,,
I212,INFARTO AGUDO TRANSMURAL DO MIOCARDIO DE OUTRAS LOCALIZACOES                                        ,,
I213,INFARTO AGUDO TRANSMURAL DO MIOCARDIO, DE LOCALIZACAO NAO ESPECIFICADA                              ,,
I214,INFARTO AGUDO SUBENDOCARDICO DO MIOCARDIO                                                           ,,
I219,INFARTO AGUDO DO MIOCARDIO NAO ESPECIFICADO                                                         ,,
I22,INFARTO DO MIOCARDIO RECORRENTE E SUBTÍTULOS                                                        ,,
I220,INFARTO DO MIOCARDIO RECORRENTE DA PAREDE ANTERIOR                                                  ,,
I221,INFARTO DO MIOCARDIO RECORRENTE DA PAREDE INFERIOR                                                  ,,
I228,INFARTO DO MIOCARDIO RECORRENTE DE OUTRAS LOCALIZACOES                                              ,,
I229,INFARTO DO MIOCARDIO RECORRENTE DE LOCALIZACAO NAO ESPECIFICADA                                     ,,
I23,ALGUMAS COMPLICACOES ATUAIS SUBSEQUENTES AO INFARTO AGUDO DO MIOCARDIO E SUBTÍTULOS                 ,,
I230,HEMOPERICARDIO COMO COMPLICACAO ATUAL SUBSEQUENTE AO INFARTO AGUDO DO MIOCARDIO                     ,,
I231,COMUNICACAO INTERATRIAL COMO COMPLICACAO ATUAL SUBSEQUENTE AO INFARTO AGUDO DO MIOCARDIO            ,,
I232,COMUNICACAO INTERVENTRICULAR COMO COMPLICACAO ATUAL SUBSEQUENTE AO INFARTO AGUDO DO MIOCARDIO       ,,
I233,RUPTURA DA PAREDE DO CORACAO SEM OCORRENCIA DE HEMOPERICARDIO COMO COMPLICACAO ATUAL SUBSEQUENTE AO ,,
I234,RUPTURA DE CORDOALHAS TENDINEAS COMO COMPLICACAO ATUAL SUBSEQUENTE AO INFARTO AGUDO DO MIOCARDIO    ,,
I235,RUPTURA DE MUSCULOS PAPILARES COMO COMPLICACAO ATUAL SUBSEQUENTE AO INFARTO AGUDO DO MIOCARDIO      ,,
I236,TROMBOSE DE ATRIO, AURICULA E VENTRICULO COMO COMPLICACAO ATUAL SUBSEQUENTE AO INFARTO AGUDO DO MIOC,,
I238,OUTRAS COMPLICACOES ATUAIS SUBSEQUENTES AO INFARTO AGUDO DO MIOCARDIO                               ,,
I24,OUTRAS DOENCAS ISQUEMICAS AGUDAS DO CORACAO E SUBTÍTULOS                                            ,,
I240,TROMBOSE CORONARIA QUE NAO RESULTA EM INFARTO DO MIOCARDIO                                          ,,
I241,SINDROME DE DRESSLER                                                                                ,,
I248,OUTRAS FORMAS DE DOENCA ISQUEMICA AGUDA DO CORACAO                                                  ,,
I249,DOENCA ISQUEMICA AGUDA DO CORACAO NAO ESPECIFICADA                                                  ,,
I25,DOENCA ISQUEMICA CRONICA DO CORACAO E SUBTÍTULOS                                                    ,,
I250,DOENCA CARDIOVASCULAR ATEROSCLEROTICA, DESCRITA DESTA MANEIRA                                       ,,
I251,DOENCA ATEROSCLEROTICA DO CORACAO                                                                   ,,
I252,INFARTO ANTIGO DO MIOCARDIO                                                                         ,,
I253,ANEURISMA CARDIACO                                                                                  ,,
I254,ANEURISMA DE ARTERIA CORONARIA                                                                      ,,
I255,MIOCARDIOPATIA ISQUEMICA                                                                            ,,
I256,ISQUEMIA MIOCARDICA SILENCIOSA                                                                      ,,
I258,OUTRAS FORMAS DE DOENCA ISQUEMICA CRONICA DO CORACAO                                                ,,
I259,DOENCA ISQUEMICA CRONICA DO CORACAO NAO ESPECIFICADA                                                ,,
I26,EMBOLIA PULMONAR E SUBTÍTULOS                                                                       ,,
I260,EMBOLIA PULMONAR COM MENCAO DE COR PULMONALE AGUDO                                                  ,,
I269,EMBOLIA PULMONAR SEM MENCAO DE COR PULMONALE AGUDO                                                  ,,
I27,OUTRAS FORMAS DE DOENCA CARDIACA PULMONAR E SUBTÍTULOS                                              ,,
I270,HIPERTENSAO PULMONAR PRIMARIA                                                                       ,,
I271,CARDIOPATIA CIFOESCOLIOTICA                                                                         ,,
I278,OUTRAS DOENCAS PULMONARES DO CORACAO ESPECIFICADAS                                                  ,,
I279,CARDIOPATIA PULMONAR NAO ESPECIFICADA                                                               ,,
I28,OUTRAS DOENCAS DOS VASOS PULMONARES E SUBTÍTULOS                                                    ,,
I280,FISTULA ARTERIOVENOSA DE VASOS PULMONARES                                                           ,,
I281,ANEURISMA DA ARTERIA PULMONAR                                                                       ,,
I288,OUTRAS DOENCAS ESPECIFICADAS DOS VASOS PULMONARES                                                   ,,
I289,DOENCA NAO ESPECIFICADA DOS VASOS PULMONARES                                                        ,,
I30,PERICARDITE AGUDA E SUBTÍTULOS                                                                      ,,
I300,PERICARDITE AGUDA IDIOPATICA NAO ESPECIFICA                                                         ,,
I301,PERICARDITE INFECCIOSA                                                                              ,,
I308,OUTRAS FORMAS DE PERICARDITE AGUDA                                                                  ,,
I309,PERICARDITE AGUDA NAO ESPECIFICADA                                                                  ,,
A081,GASTROENTEROPATIA AGUDA PELO AGENTE DE NORWALK                                                      ,,
A082,ENTERITE POR ADENOVIRUS                                                                             ,,
A083,OUTRAS ENTERITES VIRAIS                                                                             ,,
A084,INFECCAO INTESTINAL DEVIDA A VIRUS NAO ESPECIFICADO                                                 ,,
A085,OUTRAS INFECCOES INTESTINAIS ESPECIFICADAS                                                          ,,
A09,DIARREIA E GASTROENTERITE DE ORIGEM INFECCIOSA PRESUMIVEL E SUBTÍTULOS                              ,,
A15,TUBERCULOSE RESPIRATORIA, COM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA E SUBTÍTULOS                 ,,
A150,TUBERCULOSE PULMONAR, COM CONFIRMACAO POR EXAME MICROSCOPICO DA EXPECTORACAO, COM OU SEM CULTURA    ,,
A151,TUBERCULOSE PULMONAR, COM CONFIRMACAO SOMENTE POR CULTURA                                           ,,
A152,TUBERCULOSE PULMONAR, COM CONFIRMACAO HISTOLOGICA                                                   ,,
A153,TUBERCULOSE PULMONAR, COM CONFIRMACAO POR MEIO NAO ESPECIFICADO                                     ,,
A154,TUBERCULOSE DOS GANGLIOS INTRATORACICOS, COM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA               ,,
A155,TUBERCULOSE DA LARINGE, DA TRAQUEIA E DOS BRONQUIOS, COM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA   ,,
A156,PLEURIS TUBERCULOSO, COM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA                                   ,,
A157,TUBERCULOSE PRIMARIA DAS VIAS RESPIRATORIAS, COM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA           ,,
A158,OUTRAS FORMAS DE TUBERCULOSE DAS VIAS RESPIRATORIAS, COM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA   ,,
A159,TUBERCULOSE NAO ESPECIFICADA DAS VIAS RESPIRATORIAS, COM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA   ,,
A16,TUBERCULOSE DAS VIAS RESPIRATORIAS, SEM CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA E SUBTÍTULOS      ,,
A160,TUBERCULOSE PULMONAR COM EXAMES BACTERIOLOGICO E HISTOLOGICO NEGATIVOS                              ,,
A161,TUBERCULOSE PULMONAR, SEM REALIZACAO DE EXAME BACTERIOLOGICO OU HISTOLOGICO                         ,,
A162,TUBERCULOSE PULMONAR, SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA                       ,,
A163,TUBERCULOSE DOS GANGLIOS INTRATORACICOS, SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA    ,,
A164,TUBERCULOSE DA LARINGE, DA TRAQUEIA E DOS BRONQUIOS, SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HIS,,
A165,PLEURISIA TUBERCULOSA, SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA                      ,,
A167,TUBERCULOSA RESPIRATORIA PRIMARIA SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA           ,,
A168,OUTRAS FORMAS DE TUBERCULOSE DAS VIAS RESPIRATORIAS, SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HIS,,
A169,TUBERCULOSE RESPIRATORIA, NAO ESPECIFICADA, SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA ,,
